,Date,Unix,Ticker,DE Ratio,Price,SP500
222,2005-01-18 04:07:03,1106039223.0,aig,1.162,66.14,1195.97998
223,2005-04-28 12:07:20,1114704440.0,aig,1.162,51.85,1143.219971
224,2006-01-07 18:38:22,1136677102.0,aig,1.294,70.11,1273.459961
225,2006-06-17 17:06:59,1150578419.0,aig,1.384,59.87,1230.040039
226,2007-03-15 06:01:57,1173952917.0,aig,1.687,67.0,1392.280029
227,2007-05-04 05:36:10,1178271370.0,aig,1.687,70.65,1505.619995
228,2007-06-05 04:27:22,1181032042.0,aig,1.614,72.55,1530.949951
229,2007-07-06 07:35:21,1183721721.0,aig,1.614,70.27,1530.439941
230,2008-01-23 16:02:26,1201122146.0,aig,1.918,52.07,1338.599976
231,2008-05-23 12:57:40,1211561860.0,aig,2.282,37.81,1375.930054
232,2008-09-21 02:42:52,1221979372.0,aig,2.411,3.85,1206.51001
233,2008-10-27 11:48:40,1225122520.0,aig,2.411,1.7,848.919983
234,2008-12-17 11:42:57,1229532177.0,aig,3.273,1.8,904.419983
235,2008-12-19 05:47:27,1229683647.0,aig,3.273,1.67,887.880005
236,2009-01-06 14:34:51,1231270491.0,aig,3.273,1.66,934.700012
